current_id,name,formula,compartment,charge,suggested_new_id
cpd11473_c0,(2E)-Hexenoyl-[acp],C17H29N2O8PRS,c0,-1,
cpd02197_c0,5-Formyltetrahydrofolate,C20H21N7O7,c0,-2,
cpd03446_c0,2-Octaprenyl-6-methoxyphenol,C47H72O2,c0,0,
cpd00193_c0,APS,C10H12N5O10PS,c0,-2,
cpd11585_c0,L-alanylglycine,C5H10N2O3,c0,0,
cpd11565_c0,12-methyl-tridecanoyl-ACP,C25H47N2O8PRS,c0,-2,
cpd03525_c0,N-Succinyl-L-glutamate,C9H10NO7,c0,-3,
cpd15605_c0,Gly-Phe,C11H14N2O3,c0,0,
cpd00383_c0,Shikimate,C7H9O5,c0,-1,
cpd02886_c0,UDP-3-O-(beta-hydroxymyristoyl)-N-acetylglucosamine,C31H51N3O19P2,c0,-2,
cpd11541_c0,15-methyl-3-oxo-hexa-decanoyl-ACP,C28H51N2O9PRS,c0,-1,
cpd03916_c0,Adenosyl cobyrinate diamide,C55H68CoN11O15,c0,-4,
cpd00531_e0,Hg2+,Hg,e0,2,
cpd14507_c0,Peptide-L-methionine (R)-S-oxide,C6H10N2O3R2S,c0,0,
cpd00283_c0,Geranyldiphosphate,C10H18O7P2,c0,-2,
cpd00047_e0,Formate,CHO2,e0,-1,
cpd11420_c0,trdox,C10H13N4O4R4S2,c0,1,
cpd00098_c0,Choline,C5H14NO,c0,1,
cpd10515_e0,Fe+2,Fe,e0,2,
cpd02566_c0,"2,3-Dihydroxy-2,3-dihydrobenzoate",C7H7O4,c0,-1,
cpd03847_e0,Myristic acid,C14H27O2,e0,-1,
cpd00236_c0,D-Erythrose4-phosphate,C4H7O7P,c0,-2,
cpd00015_c0,FAD,C27H31N9O15P2,c0,-2,
cpd11538_c0,13-methyl-3-hydroxy-tetra-decanoyl-ACP,C26H49N2O9PRS,c0,-1,
cpd00153_c0,Benzoate,C7H5O2,c0,-1,
cpd15274_c0,Octadecenoyl-CoA,C39H65N7O17P3S,c0,-3,
cpd15726_c0,Dianteisopentadecanoylphosphatidylglycerol,C36H70O10P,c0,-1,
cpd00524_c0,2-Inosose,C6H10O6,c0,0,
cpd00207_c0,Guanine,C5H5N5O,c0,0,
cpd11548_c0,4-methyl-trans-pent-2-enoyl-ACP,C17H29N2O8PRS,c0,-1,
cpd15547_c0,Phosphatidylglycerophosphate dioctadecanoyl,C42H82O13P2,c0,-2,
cpd03187_c0,Oxalosuccinate,C6H3O7,c0,-3,
cpd02569_c0,2-Oxo-3-hydroxyisovalerate,C5H7O4,c0,-1,
cpd12072_c0,Protein dithiol,C7H11N3O3R2S2,c0,0,
cpd00036_e0,Succinate,C4H4O4,e0,-2,
cpd00790_c0,O-Acetyl-L-homoserine,C6H11NO4,c0,0,
cpd03424_c0,Vitamin B12,C62H91CoN13O14PR,c0,3,
cpd11503_c0,6-methyl-octanoyl-ACP,C20H37N2O8PRS,c0,-1,
cpd11584_e0,Ala-His,C9H14N4O3,e0,0,
cpd00200_c0,4MOP,C6H9O3,c0,-1,
cpd11536_c0,11-methyl-dodecanoyl-ACP,C24H45N2O8PRS,c0,-1,
cpd11606_c0,Menaquinone 7,C46H64O2,c0,0,
cpd00802_c0,D-fructose-1-phosphate,C6H11O9P,c0,-2,
cpd01030_e0,Salicin,C13H18O7,e0,0,
cpd15605_e0,Gly-Phe,C11H14N2O3,e0,0,
cpd15606_c0,Gly-Tyr,C11H14N2O4,c0,0,
cpd00259_c0,D-Lyxulose,C5H10O5,c0,0,
cpd00024_e0,2-Oxoglutarate,C5H4O5,e0,-2,
cpd16062_c0,Citrate-Mg,C6H5MgO7,c0,-1,
cpd11496_c0,4-methyl-3-oxo-hexanoyl-ACP,C18H31N2O9PRS,c0,-1,
cpd00235_c0,D-mannose-6-phosphate,C6H11O9P,c0,-2,
cpd00170_c0,Gluconolactone,C6H10O6,c0,0,
cpd02125_c0,Tiglyl-CoA,C26H38N7O17P3S,c0,-4,
cpd00213_c0,Lipoamide,C8H15NOS2,c0,0,
cpd16540_c0,5-Deoxy glucuronic acid,C6H9O6,c0,-1,
cpd15555_c0,phosphatidylserine dihexadecanoyl,C38H72NO10P,c0,-2,
cpd06227_c0,THF-L-glutamate,C29H33N9O12,c0,-4,
cpd10162_c0,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,C6H9O4,c0,-1,
cpd02894_c0,4-Amino-2-methyl-5-diphosphomethylpyrimidine,C6H9N3O7P2,c0,-2,
cpd00115_c0,dATP,C10H13N5O12P3,c0,-3,
cpd15702_c0,"1,2-Dianteisoheptadecanoyl-sn-glycerol",C37H72O5,c0,0,
cpd00197_c0,Protocatechuate,C7H5O4,c0,-1,
cpd00129_e0,L-Proline,C5H9NO2,e0,0,
cpd03831_c0,ADP-L-glycero-D-manno-heptose,C17H25N5O16P2,c0,-2,
cpd11558_c0,10-methyl-3-oxo-undecanoyl-ACP,C23H41N2O9PRS,c0,-1,
cpd02089_c0,5-Oxopentanoate,C5H7O3,c0,-1,
cpd01262_e0,Amylotriose,C18H32O16,e0,0,
cpd03897_c0,4a-Hydroxytetrahydrobiopterin,C9H15N5O4,c0,0,
cpd29840_c0,Melibiose,X,c0,0,
cpd00637_e0,D-Methionine,C5H11NO2S,e0,0,
cpd11502_c0,6-methyl-trans-oct-2-enoyl-ACP,C20H35N2O8PRS,c0,-1,
cpd00856_c0,"3-Carboxy-cis,cis-muconate",C7H3O6,c0,-3,
cpd11592_e0,gly-glu-L,C7H11N2O5,e0,-1,
cpd00082_e0,D-Fructose,C6H12O6,e0,0,
cpd00012_c0,PPi,HO7P2,c0,-3,
cpd02095_c0,"L-2,4-Diaminobutyrate",C4H11N2O2,c0,1,
cpd02978_c0,"7,8-Dihydroneopterin 3'-triphosphate",C9H12N5O13P3,c0,-4,
cpd00448_c0,D-Glyceraldehyde,C3H6O3,c0,0,
cpd11479_c0,D-3-Hydroxyhexanoyl-[acp],C17H31N2O9PRS,c0,-2,
cpd00056_c0,TPP,C12H17N4O7P2S,c0,-1,
cpd00048_e0,Sulfate,O4S,e0,-2,
cpd11255_c0,"1,2-dihydroxy-3-keto-5-methylthiopentene",C6H10O3S,c0,0,
cpd00033_c0,Glycine,C2H5NO2,c0,0,
cpd00161_c0,L-Threonine,C4H9NO3,c0,0,
cpd03421_c0,Cobyrinate,C45H52CoN4O14,c0,-6,
cpd02979_c0,phosphoribosylformiminoaicar-phosphate,C15H21N5O15P2,c0,-4,
cpd00162_c0,Aminoethanol,C2H8NO,c0,1,
cpd02090_c0,Glycerophosphoglycerol,C6H14O8P,c0,-1,
cpd00810_c0,Orotidylic acid,C10H10N2O11P,c0,-3,
cpd01017_e0,Cys-Gly,C5H10N2O3S,e0,0,
cpd01695_c0,Myristoyl-CoA,C35H58N7O17P3S,c0,-4,
cpd02168_c0,Prephytoene diphosphate,C40H66O7P2,c0,-2,
cpd15306_c0,"1,2-Diacyl-sn-glycerol didodecanoyl",C27H52O5,c0,0,
cpd00794_c0,TRHL,C12H22O11,c0,0,
cpd15677_c0,"1,2-diisoheptadecanoyl-sn-glycerol 3-phosphate",C37H72O8P,c0,-1,
cpd11528_c0,7-methyl-octanoyl-ACP,C20H37N2O8PRS,c0,-1,
cpd02143_c0,"D-Galactono-1,4-lactone",C6H10O6,c0,0,
cpd00387_c0,ADPglucose,C16H23N5O15P2,c0,-2,
cpd15724_c0,Diisotetradecanoylphosphatidylglycerol,C34H66O10P,c0,-1,
cpd08625_c0,5-Hydroxyisourate,C5H4N4O4,c0,0,
cpd11584_c0,Ala-His,C9H14N4O3,c0,0,
cpd02333_c0,Quinolinate,C7H3NO4,c0,-2,
cpd00146_c0,Carbamoylphosphate,CH2NO5P,c0,-2,
cpd01997_c0,Dimethylbenzimidazole,C9H10N2,c0,0,
cpd00340_c0,"2,5-Dioxopentanoate",C5H5O4,c0,-1,
cpd00162_e0,Aminoethanol,C2H8NO,e0,1,
cpd00139_c0,Glycolate,C2H3O3,c0,-1,
cpd03674_c0,2-Dehydro-3-deoxy-D-fuconate,C6H9O5,c0,-1,
cpd11552_c0,6-methyl-trans-hept-2-enoyl-ACP,C19H33N2O8PRS,c0,-1,
cpd11591_e0,Gly-Met,C7H14N2O3S,e0,0,
cpd15419_c0,"CDP-1,2-dihexadecanoylglycerol",C44H79N3O15P2,c0,-2,
cpd11540_c0,13-methyl-tetra-decanoyl-ACP,C26H49N2O8PRS,c0,-2,
cpd15345_c0,2-Acyl-sn-glycero-3-phosphoglycerol tetradec-7-enoyl,C20H38O9P,c0,-1,
cpd02230_c0,Inositol 4-phosphate,C6H11O9P,c0,-2,
cpd00350_c0,Farnesyldiphosphate,C15H26O7P2,c0,-2,
cpd06707_c0,Benzamide,C7H7NO,c0,0,
cpd03447_c0,"2-Octaprenyl-6-methoxy-1,4-benzoquinone",C47H70O3,c0,0,
cpd03205_c0,Phytoene,C40H64,c0,0,
cpd03121_c0,3-Oxooctanoyl-CoA,C29H44N7O18P3S,c0,-4,
cpd15317_c0,1-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl,C21H42NO7P,c0,0,
cpd11570_c0,3-Oxooctodecanoyl-ACP,C29H53N2O9PRS,c0,-1,
cpd00101_c0,ribose-5-phosphate,C5H9O8P,c0,-2,
cpd00098_e0,Choline,C5H14NO,e0,1,
cpd02465_c0,tetrahydrodipicolinate,C7H7NO4,c0,-2,
cpd00070_c0,Malonyl-CoA,C24H33N7O19P3S,c0,-5,
cpd11439_c0,fa4coa,C36H61N7O17P3S,c0,-3,
cpd03091_c0,5'-Deoxyadenosine,C10H13N5O3,c0,0,
cpd00223_c0,Glycerate,C3H5O4,c0,-1,
cpd15417_c0,"CDP-1,2-didodecanoylglycerol",C36H63N3O15P2,c0,-2,
cpd00314_e0,D-Mannitol,C6H14O6,e0,0,
cpd00932_c0,5-O--1-Carboxyvinyl-3-phosphoshikimate,C10H9O10P,c0,-4,
cpd02740_c0,"Guanosine 5'-triphosphate,3'-diphosphate",C10H12N5O20P5,c0,-6,
cpd00515_c0,5-Dehydro-4-deoxy-D-glucarate,C6H6O7,c0,-2,
cpd00214_e0,Palmitate,C16H31O2,e0,-1,
cpd15354_c0,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H36O7P,c0,-1,
cpd15794_c0,Isoheptadecanoylcardiolipin (B. subtilis),C77H148O17P2,c0,-2,
cpd11518_c0,14-methyl-trans-hexa-dec-2-enoyl-ACP,C28H51N2O8PRS,c0,-1,
cpd00341_c0,N-Carbamoylputrescine,C5H14N3O,c0,1,
cpd03445_c0,2-Octaprenyl-6-hydroxyphenol,C46H70O2,c0,0,
cpd03113_c0,(S)-3-Hydroxyhexadecanoyl-CoA,C37H62N7O18P3S,c0,-4,
cpd15355_c0,2-hexadecanoyl-sn-glycerol 3-phosphate,C19H38O7P,c0,-1,
cpd00179_e0,Maltose,C12H22O11,e0,0,
cpd19178_c0,D-Glucuronic acid,C6H9O7,c0,-1,
cpd00023_c0,L-Glutamate,C5H8NO4,c0,-1,
cpd01507_c0,3-Oxoadipyl-CoA,C27H37N7O20P3S,c0,-5,
cpd01399_c0,Maltotetraose,C24H42O21,c0,0,
cpd02345_c0,L-Glutamate1-semialdehyde,C5H9NO3,c0,0,
cpd00860_c0,S-Succinyldihydrolipoamide,C12H20NO4S2,c0,-1,
cpd03424_e0,Vitamin B12,C62H91CoN13O14PR,e0,3,
cpd02536_c0,Muconolactone,C6H5O4,c0,-1,
cpd09027_c0,"5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate",C5H5N4O5,c0,-1,
cpd15523_c0,"1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate",C31H56O8P,c0,-1,
cpd11529_c0,9-methyl-3-oxo-decanoyl-ACP,C22H39N2O9PRS,c0,-1,
cpd01741_c0,ddca,C12H23O2,c0,-1,
cpd00930_c0,imidazole acetol-phosphate,C6H7N2O5P,c0,-2,
cpd00780_c0,Fumarylacetoacetate,C8H6O6,c0,-2,
cpd11438_c0,fa4,C15H29O2,c0,-1,
cpd00027_c0,D-Glucose,C6H12O6,c0,0,
cpd00196_c0,Acetylphosphate,C2H3O5P,c0,-2,
cpd00179_c0,Maltose,C12H22O11,c0,0,
cpd00205_e0,K+,K,e0,1,
cpd09844_c0,(3S)-3-Hydroxyadipyl-CoA,C27H39N7O20P3S,c0,-5,
cpd03488_c0,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine,C94H155N9O25P2,c0,-2,
cpd00346_c0,L-Aspartate4-semialdehyde,C4H7NO3,c0,0,
cpd02484_c0,Inositol 3-phosphate,C6H11O9P,c0,-2,
cpd01017_c0,Cys-Gly,C5H10N2O3S,c0,0,
cpd02642_c0,N-5-phosphoribosyl-anthranilate,C12H13NO9P,c0,-3,
cpd00238_c0,Sedoheptulose7-phosphate,C7H13O10P,c0,-2,
cpd00030_e0,Mn2+,Mn,e0,2,
cpd03117_c0,3-Oxododecanoyl-CoA,C33H52N7O18P3S,c0,-4,
cpd15694_c0,Diisohexadecanoylphosphatidylserine,C38H72NO10P,c0,-2,
cpd02234_c0,(R)-3-Hydroxybutanoyl-CoA,C25H38N7O18P3S,c0,-4,
cpd00022_c0,Acetyl-CoA,C23H34N7O17P3S,c0,-4,
cpd11493_c0,ACP,C11H22N2O7PRS,c0,-2,
cpd02711_c0,2-Keto-3-deoxy-6-phosphogluconate,C6H8O9P,c0,-3,
cpd11583_c0,Ala-Leu,C9H18N2O3,c0,0,
cpd11510_c0,10-methyl-trans-dodec-2-enoyl-ACP,C24H43N2O8PRS,c0,-1,
cpd00003_c0,NAD,C21H26N7O14P2,c0,-1,
cpd03697_c0,Arbutin-6P,C12H15O10P,c0,-2,
cpd01157_c0,Chitobiose,C16H28N2O11,c0,0,
cpd00232_c0,Neu5Ac,C11H18NO9,c0,-1,
cpd02152_c0,L-Argininosuccinate,C10H17N4O6,c0,-1,
cpd15722_c0,Diisoheptadecanoylphosphatidylglycerol,C40H78O10P,c0,-1,
cpd00338_c0,5-Aminolevulinate,C5H9NO3,c0,0,
cpd00668_c0,ALCTT,C5H7O4,c0,-1,
cpd15336_c0,2-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl,C17H36NO7P,c0,0,
cpd15727_c0,Diisohexadecanoylphosphatidylglycerol,C38H74O10P,c0,-1,
cpd00065_e0,L-Tryptophan,C11H12N2O2,e0,0,
cpd01012_c0,Cd2+,Cd,c0,2,
cpd03671_c0,D-Glucosamine1-phosphate,C6H13NO8P,c0,-1,
cpd20885_e0,Turanose,C12H22O11,e0,0,
cpd11549_c0,4-methyl-pentanoyl-ACP,C17H31N2O8PRS,c0,-1,
cpd01620_c0,Precorrin 2,C42H41N4O16,c0,-7,
cpd00727_c0,2-Phosphoglycolate,C2H2O6P,c0,-3,
cpd00209_e0,Nitrate,NO3,e0,-1,
cpd00791_c0,ProtoporphyrinogenIX,C34H38N4O4,c0,-2,
cpd00122_e0,N-Acetyl-D-glucosamine,C8H15NO6,e0,0,
cpd00050_c0,FMN,C17H19N4O9P,c0,-2,
cpd15603_c0,Gly-Cys,C5H10N2O3S,c0,0,
cpd02591_c0,pendp,C25H42O7P2,c0,-2,
cpd00014_c0,UDP,C9H12N2O12P2,c0,-2,
cpd15378_c0,4-Hydroxy-benzylalcohol,C7H8O2,c0,0,
cpd00081_c0,Sulfite,HO3S,c0,-1,
cpd15676_c0,1-isohexadecanoyl-sn-glycerol 3-phosphate,C19H38O7P,c0,-1,
cpd15348_c0,2-Acyl-sn-glycero-3-phosphoglycerol octadecanoyl,C24H48O9P,c0,-1,
cpd02083_c0,CoproporphyrinogenIII,C36H40N4O8,c0,-4,
cpd00497_c0,XMP,C10H11N4O9P,c0,-2,
cpd03122_c0,(S)-Hydroxyhexanoyl-CoA,C27H42N7O18P3S,c0,-4,
cpd00386_c0,D-Malate,C4H4O5,c0,-2,
cpd00092_e0,Uracil,C4H4N2O2,e0,0,
cpd00357_c0,TTP,C10H14N2O14P3,c0,-3,
cpd03832_c0,Hydrogenobyrinate,C45H56N4O14,c0,-4,
cpd15137_c0,5-Hydroxyectoine,C6H10N2O3,c0,0,
cpd00106_c0,Fumarate,C4H2O4,c0,-2,
