metabolites_id,reaction_id,name,reaction_string,subsystem,lower_bound,upper_bound,formula,charge,compartment
glycogen1[c],BIOMASS_0508,glycogen n-1,0.00816736 Symbiotic_Cofactors[c] + 0.816736 ade[c] + 0.816736 ala__L[c] + 0.816736 arg__L[c] + 0.816736 asp__L[c] + 0.816736 fixedNH3[c] + 0.816736 glycogen[c] + 0.816736 hdca[c] + 0.816736 ile__L[c] + 0.816736 phb[c] + 0.816736 ura[c] + 0.816736 val__L[c] <=> Symbiotic_product[c] + 0.816736 ala__L[e] + 0.816736 asp__L[e] + 0.816736 fixedNH3[e] + 0.816736 glycogen1[c],Symbiosis,-1000.0,1000.0,C24H42O21,0,c
glycogen1[c],r_0205,glycogen n-1,adpglc[c] + glycogen1[c] --> adp[c] + glycogen[c],Glycolysis / Gluconeogenesis,0.0,1000.0,C24H42O21,0,c
glycogen1[c],r_0522,glycogen n-1,glycogen[c] + h[c] + pi[c] <=> g1p[c] + glycogen1[c],Glycogen synthesis,-1000.0,1000.0,C24H42O21,0,c
glycogen1[c],r_0520,glycogen n-1,glycogen1[c] <=> ,Transport,-1000.0,1000.0,C24H42O21,0,c
5ddglcn[c],r_0523,5-Deoxy-D-glucuronate,dkdi[c] + h2o[c] --> 5ddglcn[c] + h[c],Inositol Phosphate Metabolism,0.0,1000.0,C6H9O6,-1,c
5ddglcn[c],r_0524,5-Deoxy-D-glucuronate,5ddglcn[c] --> d5kg[c],Inositol Phosphate Metabolism,0.0,1000.0,C6H9O6,-1,c
iasp[c],r_0528,Iminoaspartate,asp__L[c] + o2[c] --> h2o2[c] + h[c] + iasp[c],Nicotinate and Nicotinamide,0.0,1000.0,C4H3NO4,-2,c
iasp[c],r_0529,Iminoaspartate,dhap[c] + iasp[c] --> 2.0 h2o[c] + h[c] + pi[c] + quln[c],Nicotinate and Nicotinamide,0.0,1000.0,C4H3NO4,-2,c
Symbiotic_product[c],BIOMASS_0508,Symbiotic product,0.00816736 Symbiotic_Cofactors[c] + 0.816736 ade[c] + 0.816736 ala__L[c] + 0.816736 arg__L[c] + 0.816736 asp__L[c] + 0.816736 fixedNH3[c] + 0.816736 glycogen[c] + 0.816736 hdca[c] + 0.816736 ile__L[c] + 0.816736 phb[c] + 0.816736 ura[c] + 0.816736 val__L[c] <=> Symbiotic_product[c] + 0.816736 ala__L[e] + 0.816736 asp__L[e] + 0.816736 fixedNH3[e] + 0.816736 glycogen1[c],Symbiosis,-1000.0,1000.0,,0,c
Symbiotic_product[c],r_0530,Symbiotic product,Symbiotic_product[c] --> ,Transport,0.0,1000.0,,0,c
dad_5[c],r_0669,5-Deoxyadenosine,amet[c] + gtp[c] + racptr[c] --> 38ch2gtp[c] + acptr[c] + dad_5[c] + met__L[c],Folate Biosynthesis,0.0,1000.0,C10H13N5O3,0,c
dad_5[c],r_0717,5-Deoxyadenosine,2.0 amet[c] + cpppg3[c] --> 2.0 co2[c] + 2.0 dad_5[c] + 2.0 met__L[c] + pppg9[c],Porphyrin and Chlorophyll Metabolism,0.0,1000.0,C10H13N5O3,0,c
dad_5[c],r_0735,5-Deoxyadenosine,amet[c] + sdo[c] + trna6iso[c] <=> 2tn6ditrna[c] + dad_5[c] + met__L[c],[],-1000.0,1000.0,C10H13N5O3,0,c
dad_5[c],r_0301,5-Deoxyadenosine,air[c] + amet[c] + h2o[c] --> 4ahmmp[c] + co[c] + dad_5[c] + for[c] + 4.0 h[c] + met__L[c] + pi[c],Thiamine Metabolism,0.0,1000.0,C10H13N5O3,0,c
dad_5[c],r_0548,5-Deoxyadenosine,air[c] + amet[c] --> 4ampm[c] + co[c] + dad_5[c] + for[c] + h2o[c] + met__L[c],Thiamine Metabolism,0.0,1000.0,C10H13N5O3,0,c
dad_5[c],r_0821,5-Deoxyadenosine,2.0 amet[c] + dtbt[c] + 2.0 e[c] + 2.0 h[c] + sdo[c] <=> btn[c] + 2.0 dad_5[c] + 2.0 met__L[c],[],-1000.0,1000.0,C10H13N5O3,0,c
dad_5[c],r_0734,5-Deoxyadenosine,2.0 amet[c] + sdo[c] + trna6iso[c] <=> 2mn6ditrna[c] + ahcys[c] + dad_5[c] + met__L[c],[],-1000.0,1000.0,C10H13N5O3,0,c
dad_5[c],r_0777,5-Deoxyadenosine,2.0 amet[c] + fscspc4f4s[c] + 8.0 h[c] + pn6ocllys[c] + 2.0 r2f2sf[c] <=> 2.0 dad_5[c] + 2.0 fdxo_22[c] + 4.0 fe2[c] + fscsp[c] + 2.0 h2s[c] + 2.0 met__L[c] + pn6rdillys[c],Lipoic acid metabolism,-1000.0,1000.0,C10H13N5O3,0,c
dad_5[c],r_0533,5-Deoxyadenosine,dad_5[c] + h2o[c] --> 5drib[c] + ade[c],[],0.0,1000.0,C10H13N5O3,0,c
5drib[c],r_0534,5-Deoxyribose,5drib[c] --> ,Transport,0.0,1000.0,C5H10O4,0,c
5drib[c],r_0725,5-Deoxyribose,2dr5p[c] + adp[c] <=> 5drib[c] + atp[c],Pentose Phosphate Pathway,-1000.0,1000.0,C5H10O4,0,c
5drib[c],r_0533,5-Deoxyribose,dad_5[c] + h2o[c] --> 5drib[c] + ade[c],[],0.0,1000.0,C5H10O4,0,c
etoh[c],r_0539,Ethanol,acald[c] + h[c] + nadh[c] <=> etoh[c] + nad[c],Glycolysis / Gluconeogenesis,-1000.0,1000.0,C2H6O,0,c
2dr5p[c],r_0540,2-Deoxy-D-ribose 5-phosphate,2dr5p[c] <=> acald[c] + g3p[c],Pentose Phosphate Pathway,-1000.0,1000.0,C5H9O7P,-2,c
2dr5p[c],r_0725,2-Deoxy-D-ribose 5-phosphate,2dr5p[c] + adp[c] <=> 5drib[c] + atp[c],Pentose Phosphate Pathway,-1000.0,1000.0,C5H9O7P,-2,c
2dr5p[c],r_0726,2-Deoxy-D-ribose 5-phosphate,2dr1p[c] --> 2dr5p[c],Purine Metabolism,0.0,1000.0,C5H9O7P,-2,c
15gl[c],r_0542,"D-Glucono-1,5-lactone",g1p[c] + nad[c] <=> 15gl[c] + h[c] + nadh[c],Pentose Phosphate Pathway,-1000.0,1000.0,C6H10O6,0,c
15gl[c],r_0541,"D-Glucono-1,5-lactone",g1p[c] + nadp[c] <=> 15gl[c] + h[c] + nadph[c],Pentose Phosphate Pathway,-1000.0,1000.0,C6H10O6,0,c
15gl[c],r_0951,"D-Glucono-1,5-lactone",15gl[c] + h2o[c] <=> glcn[c] + h[c],Pentose phosphate pathway,-1000.0,1000.0,C6H10O6,0,c
glcn[c],r_0543,D-Gluconate,atp[c] + glcn[c] --> 6pgc[c] + adp[c],Pentose Phosphate Pathway,0.0,1000.0,C6H11O7,-1,c
glcn[c],r_0951,D-Gluconate,15gl[c] + h2o[c] <=> glcn[c] + h[c],Pentose phosphate pathway,-1000.0,1000.0,C6H11O7,-1,c
pail35p_cho[c],r_0544,"1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate",h2o[c] + pail35p_cho[c] --> pail3p_cho[c] + pi[c],Inositol Phosphate Metabolism,0.0,1000.0,C9H14O15P3RCO2R2CO2,-5,c
pail3p_cho[c],r_0544,1-Phosphatidyl-1D-myo-inositol 3-phosphate,h2o[c] + pail35p_cho[c] --> pail3p_cho[c] + pi[c],Inositol Phosphate Metabolism,0.0,1000.0,C9H15O12P2RCO2R2CO2,-3,c
pail4p_cho[c],r_0545,1-Phosphatidyl-1D-myo-inositol 4-phosphate,h2o[c] + pail4p_cho[c] --> pail_cho[c] + pi[c],Inositol Phosphate Metabolism,0.0,1000.0,C9H15O12P2RCO2R2CO2,-3,c
pail_cho[c],r_0545,1-Phosphatidyl-D-myo-inositol,h2o[c] + pail4p_cho[c] --> pail_cho[c] + pi[c],Inositol Phosphate Metabolism,0.0,1000.0,C9H16O9PRCO2R2CO2,-1,c
3desins[c],r_0546,3-Dehydro-scyllo-inosose,2ins[c] + nad[c] --> 3desins[c] + h[c] + nadh[c],Inositol Phosphate Metabolism,0.0,1000.0,C6H8O6,0,c
syinost[c],r_0547,scyllo-Inositol,nadp[c] + syinost[c] --> 2ins[c] + h[c] + nadph[c],Inositol Phosphate Metabolism,0.0,1000.0,C6H12O6,0,c
4mpetz[c],r_0374,4-Methyl-5-(2-phosphooxyethyl)thiazole,2mahmp[c] + 4mpetz[c] + h[c] --> ppi[c] + thmmp[c],Thiamine Metabolism,0.0,1000.0,C6H8NO4PS,-2,c
4mpetz[c],r_0268,4-Methyl-5-(2-phosphooxyethyl)thiazole,atp[c] + cys__L[c] + dxyl5p[c] + tyr__L[c] --> 4hba[c] + 4mpetz[c] + ala__L[c] + amp[c] + co2[c] + h2o[c] + ppi[c],Thiamine Metabolism,0.0,1000.0,C6H8NO4PS,-2,c
imgly[c],r_0550,Iminoglycine,gly[c] + o2[c] --> h2o2[c] + imgly[c],Thiamine Metabolism,0.0,1000.0,C2H3NO2,0,c
imgly[c],r_0551,Iminoglycine,dxyl5p[c] + imgly[c] + thiosul[c] --> 2c4mthzep[c] + 2.0 h2o[c] + scp[c],Thiamine Metabolism,0.0,1000.0,C2H3NO2,0,c
thiosul[c],r_0551,Thiocarboxy-[sulfur-carrier protein],dxyl5p[c] + imgly[c] + thiosul[c] --> 2c4mthzep[c] + 2.0 h2o[c] + scp[c],Thiamine Metabolism,0.0,1000.0,C4H7N2O2SR,0,c
2c4mthzep[c],r_0551,"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate",dxyl5p[c] + imgly[c] + thiosul[c] --> 2c4mthzep[c] + 2.0 h2o[c] + scp[c],Thiamine Metabolism,0.0,1000.0,C7H7NO6PS,-3,c
2c4mthzep[c],r_0948,"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate",2c4mthzep[c] <=> cthzp[c],Thiamine Metabolism,-1000.0,1000.0,C7H7NO6PS,-3,c
scp[c],r_0551,Sulfur-carrier protein,dxyl5p[c] + imgly[c] + thiosul[c] --> 2c4mthzep[c] + 2.0 h2o[c] + scp[c],Thiamine Metabolism,0.0,1000.0,C4H7N2O3R,0,c
scp[c],r_0947,Sulfur-carrier protein,scp[c] --> ,Transport,0.0,1000.0,C4H7N2O3R,0,c
thmtp[c],r_0554,Thiamin triphosphate,adp[c] + thmpp[c] --> amp[c] + thmtp[c],Thiamine Metabolism,0.0,1000.0,C12H16N4O10P3S,-3,c
thmtp[c],r_0950,Thiamin triphosphate,thmtp[c] --> ,Transport,0.0,1000.0,C12H16N4O10P3S,-3,c
dmp[c],r_0558,Dimethylallyl phosphate,dmp[c] + fmnh2[c] <=> pi[c] + prf2[c],Riboflavin Metabolism,-1000.0,1000.0,C5H9O4P,-2,c
dmp[c],r_0556,Dimethylallyl phosphate,dmpp[c] + h2o[c] <=> dmp[c] + pi[c],Riboflavin Metabolism,-1000.0,1000.0,C5H9O4P,-2,c
dmp[c],r_0557,Dimethylallyl phosphate,atp[c] + pl[c] <=> adp[c] + dmp[c],Riboflavin Metabolism,-1000.0,1000.0,C5H9O4P,-2,c
pl[c],r_0902,Prenol,pl[c] <=> ,Transport,-1000.0,1000.0,C5H10O,0,c
pl[c],r_0557,Prenol,atp[c] + pl[c] <=> adp[c] + dmp[c],Riboflavin Metabolism,-1000.0,1000.0,C5H10O,0,c
fmnh2[c],r_0901,Reduced FMN,fmn[c] + h[c] + nadh[c] <=> fmnh2[c] + nad[c],Riboflavin Metabolism,-1000.0,1000.0,C17H21N4O9P,-2,c
fmnh2[c],r_0558,Reduced FMN,dmp[c] + fmnh2[c] <=> pi[c] + prf2[c],Riboflavin Metabolism,-1000.0,1000.0,C17H21N4O9P,-2,c
fmnh2[c],r_0559,Reduced FMN,fmnh2[c] + o2[c] <=> dmbzid[c] + e4p[c] + h2o[c],Riboflavin Metabolism,-1000.0,1000.0,C17H21N4O9P,-2,c
prf2[c],r_0957,Prenylated FMNH2,prf2[c] --> ,Transport,0.0,1000.0,C22H31N4O9P,0,c
prf2[c],r_0558,Prenylated FMNH2,dmp[c] + fmnh2[c] <=> pi[c] + prf2[c],Riboflavin Metabolism,-1000.0,1000.0,C22H31N4O9P,0,c
3a2oprop[c],r_0561,3-Amino-2-oxopropyl phosphate,3a2oprop[c] + dxyl5p[c] --> 2.0 h2o[c] + pdx5p[c] + pi[c],Vitamin B6 Metabolism,0.0,1000.0,C3H8NO5P,-1,c
no2[c],r_0568,Nitrite,focytC[c] + h[c] + no2[c] --> ficytC[c] + h2o[c] + no[c],Nitrogen Metabolism,0.0,1000.0,NO2,-1,c
focytC[c],r_0586,Ferrocytochrome C,2.0 ficytC[c] + hqn[c] --> 2.0 focytC[c] + 2.0 h[c] + qun[c],Oxidative Phosphorylation,0.0,1000.0,C42H54FeN8O6S2,2,c
focytC[c],r_0568,Ferrocytochrome C,focytC[c] + h[c] + no2[c] --> ficytC[c] + h2o[c] + no[c],Nitrogen Metabolism,0.0,1000.0,C42H54FeN8O6S2,2,c
focytC[c],r_0587,Ferrocytochrome C,4.0 focytC[c] + 4.0 h[c] + o2[c] --> 4.0 ficytC[c] + 2.0 h2o[c],Oxidative Phosphorylation,0.0,1000.0,C42H54FeN8O6S2,2,c
ficytC[c],r_0586,Ferricytochrome c,2.0 ficytC[c] + hqn[c] --> 2.0 focytC[c] + 2.0 h[c] + qun[c],Oxidative Phosphorylation,0.0,1000.0,C42H54FeN8O6S2,3,c
ficytC[c],r_0568,Ferricytochrome c,focytC[c] + h[c] + no2[c] --> ficytC[c] + h2o[c] + no[c],Nitrogen Metabolism,0.0,1000.0,C42H54FeN8O6S2,3,c
ficytC[c],r_0587,Ferricytochrome c,4.0 focytC[c] + 4.0 h[c] + o2[c] --> 4.0 ficytC[c] + 2.0 h2o[c],Oxidative Phosphorylation,0.0,1000.0,C42H54FeN8O6S2,3,c
no[c],r_0568,Nitric oxide,focytC[c] + h[c] + no2[c] --> ficytC[c] + h2o[c] + no[c],Nitrogen Metabolism,0.0,1000.0,NO,0,c
fol[c],r_0575,Folate,dhf[c] + nad[c] <=> fol[c] + h[c] + nadh[c],One carbon pool by folate,-1000.0,1000.0,C19H17N7O6,-1,c
fol[c],r_0673,Folate,dhf[c] + nadp[c] <=> fol[c] + h[c] + nadph[c],Folate Biosynthesis,-1000.0,1000.0,C19H17N7O6,-1,c
fol[c],r_0674,Folate,2.0 nad[c] + thf[c] <=> fol[c] + 2.0 h[c] + 2.0 nadh[c],Folate Biosynthesis,-1000.0,1000.0,C19H17N7O6,-1,c
fol[c],r_0576,Folate,2.0 nadp[c] + thf[c] <=> fol[c] + 2.0 h[c] + 2.0 nadph[c],One carbon pool by folate,-1000.0,1000.0,C19H17N7O6,-1,c
s8ams[c],r_0639,[Protein]-S8-aminomethyldihydrolipoyllysine,gly[c] + lprot[c] --> co2[c] + s8ams[c],"Glycine, Serine, and Threonine Metabolism",0.0,1000.0,C9H19N2OS2R,0,c
s8ams[c],r_0577,[Protein]-S8-aminomethyldihydrolipoyllysine,s8ams[c] + thf[c] <=> dhlpyprot[c] + mlthf[c] + nh3[c],One carbon pool by folate,-1000.0,1000.0,C9H19N2OS2R,0,c
dhlpyprot[c],r_0936,Dihydrolipoylprotein,dhlpyprot[c] + nad[c] <=> h[c] + lprot[c] + nadh[c],"Glycine, Serine, and Threonine Metabolism",-1000.0,1000.0,C8H16NOS2R,0,c
