current_id,name,reaction_string,subsystem,lower_bound,upper_bound
r_0823,,atp[c] + coa[c] + pac[c] --> amp[c] + phaccoa[c] + ppi[c],Phenylalanine metabolism,0.0,1000.0
r_0824,,h[c] + nadph[c] + o2[c] + phaccoa[c] --> 212e12diac[c] + h2o[c] + nadp[c],Phenylalanine metabolism,0.0,1000.0
r_0825,,fald[c] + h2o[c] + nad[c] --> for[c] + h[c] + nadh[c],Carbon metabolism,0.0,1000.0
r_0826,,h2o[c] + tre6p[c] <=> pi[c] + tre[c],Starch and sucrose metabolism,-1000.0,1000.0
r_0827,,g6p[c] + udpg[c] <=> tre6p[c] + udp[c],[],-1000.0,1000.0
r_0828,,amet[c] + pglumi[c] <=> ahcys[c] + pn5mlglu[c],[],-1000.0,1000.0
r_0829,,pep[c] + phis__L[c] <=> pplhis[c] + pyr[c],[],-1000.0,1000.0
r_0830,,2po6hy[c] + amet[c] <=> 2po6me[c] + ahcys[c],Ubiquinone and other terpenoid-quinone biosynthesis,-1000.0,1000.0
r_0831,,3detlbq[c] + amet[c] <=> ahcys[c] + qh2[c],[],-1000.0,1000.0
r_0832,,gam1p[c] <=> gam6p[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0833,,5pdna[c] + atp[c] --> amp[c] + ppi[c],[],0.0,1000.0
r_0834,,amylose[c] <=> starch[c],Starch and sucrose metabolism,-1000.0,1000.0
r_0835,,orn__D[c] <=> co2[c] + ptrc[c],[],-1000.0,1000.0
r_0836,,lys__D[c] <=> 15dap[c] + co2[c],[],-1000.0,1000.0
r_0837,,xyl__D[c] <=> xylulo_D[c],[],-1000.0,1000.0
r_0838,,atp[c] + xylu__D[c] --> adp[c] + xu5p__D[c],Pentose and glucuronate interconversions,0.0,1000.0
r_0839,,copre6[c] + h[c] + nadh[c] --> codhpre6[c] + nad[c],Porphyrin Metabolism,0.0,1000.0
r_0840,,amet[c] + dscl[c] <=> ahcys[c] + h[c] + pre3a[c],Porphyrin and Chlorophyll Metabolism,-1000.0,1000.0
r_0841,,pre8[c] <=> hgbyr[c],Porphyrin and Chlorophyll Metabolism,-1000.0,1000.0
r_0842,,4mlacac[c] <=> 4fumacac[c],Tyrosine metabolism,-1000.0,1000.0
r_0843,,hgentis[c] + o2[c] <=> 4mlacac[c],Tyrosine metabolism,-1000.0,1000.0
r_0844,,34hpp[c] + o2[c] <=> co2[c] + hgentis[c],Tyrosine metabolism,-1000.0,1000.0
r_0845,,man6p[c] <=> f6p[c],[],-1000.0,1000.0
r_0846,,qun[c] + sng3p[c] --> dhap[c] + hqn[c],[],0.0,1000.0
r_0847,,h2o[c] + met__L[c] + trdox[c] <=> metox[c] + trdrd[c],[],-1000.0,1000.0
r_0848,,h2o[c] + pep_met__L[c] + trdox[c] <=> pepmetox[c] + trdrd[c],[],-1000.0,1000.0
r_0849,,nadp[c] + sng3p[c] --> dhap[c] + h[c] + nadph[c],Glycerophospholipid metabolism,0.0,1000.0
r_0850,,nad[c] + sng3p[c] --> dhap[c] + h[c] + nadh[c],Glycerophospholipid metabolism,0.0,1000.0
r_0851,,amet[c] + trnagua[c] <=> ahcys[c] + trnan1megu[c],[],-1000.0,1000.0
r_0852,,atp[c] + h2o[c] + hemeO[c] --> adp[c] + hemeO[e] + pi[c],[],0.0,1000.0
r_0853,,h2o[c] + ptyp[c] <=> pi[c] + pty[c],[],-1000.0,1000.0
r_0854,,hthbp[c] <=> dhbpt[c] + h2o[c],[],-1000.0,1000.0
r_0855,,catechol[c] + o2[c] <=> ccmuac[c],Benzoate degradation,-1000.0,1000.0
r_0856,,bz[c] + h[c] + nadh[c] + o2[c] --> bz12diol[c] + nad[c],[],0.0,1000.0
r_0857,,5odhf2a[c] + h2o[c] <=> 3oxoadp[c],Benzoate degradation,-1000.0,1000.0
r_0858,,dhap[c] <=> mthgxl[c] + pi[c],Propanoate metabolism,-1000.0,1000.0
r_0859,,4hthdp[c] + h[c] + nadh[c] <=> nad[c] + thdp[c],Lysine Biosynthesis,-1000.0,1000.0
r_0860,,acgam6p[c] + lac__D[c] <=> acmum6p[c] + h2o[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0861,,acgam6p[c] + h2o[c] <=> ac[c] + gam6p[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0862,,h2o[c] + moaciami[c] <=> carbo[c] + nh3[c],[],-1000.0,1000.0
r_0863,,dha[c] + pep[c] <=> dhap[c] + pyr[c],[],-1000.0,1000.0
r_0864,,ctp[c] + kdo[c] <=> ckdo[c] + ppi[c],Lipopolysaccharide biosynthesis,-1000.0,1000.0
r_0865,,acptr[c] + h2o[c] + trnaque[c] <=> epqtrna[c] + racptr[c],[],-1000.0,1000.0
r_0866,,h2o[c] <=> h[c] + pi[c],Peptidoglycan biosynthesis,-1000.0,1000.0
r_0867,,amet[c] + dmmq[c] <=> ahcys[c] + mql[c],[],-1000.0,1000.0
r_0868,,2m6atp14b[c] + amet[c] <=> 6m3m2atp14b[c] + ahcys[c],[],-1000.0,1000.0
r_0869,,gtp[c] + man1p[c] <=> gdpmann[c] + ppi[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0870,,gdpmann[c] <=> gdpddman[c] + h2o[c],Amino sugar and nucleotide sugar metabolism,-1000.0,1000.0
r_0871,,atp[c] + h2o[c] + k[c] --> adp[c] + k[e] + pi[c],[],0.0,1000.0
r_0872,,2.0 frdp[c] <=> HC01118[c] + ppi[c],Sesquiterpenoid and triterpenoid biosynthesis,-1000.0,1000.0
